,Country,City,Year,co,no2,o3,pm10,pm25,so2
122,BG,Sofia,2019,0.1,6.94798927613941,12.775871313672921,27.4,73.67283950617283,
123,BG,Sofia,2020,0.1,5.258333333333334,10.197474747474747,20.81313131313131,,
124,BG,Sofia,2021,0.1,9.290721649484537,19.483505154639175,20.45618556701031,,
125,BG,Sofia,2022,0.1,8.143389830508475,18.2935593220339,21.159322033898306,,
126,BG,Sofia,2023,0.1,13.3,2.8,59.0,,
127,CH,Zürich,2016,,16.349999999999998,4.483333333333333,19.5,3.8,0.78
128,CH,Zürich,2017,,11.19344262295082,19.281967213114754,16.10928961748634,3.3763440860215055,0.7301075268817205
129,CH,Zürich,2018,,9.949726775956284,22.449180327868852,14.797814207650273,2.4124293785310735,0.556497175141243
130,CH,Zürich,2019,,9.551742627345845,18.645308310991958,12.616621983914209,2.2493297587131367,0.41474530831099193
131,CH,Zürich,2020,,8.235606060606061,18.504797979797978,11.505050505050505,2.1399491094147582,0.45594936708860756
132,CH,Zürich,2021,,7.844730077120823,18.079948586118253,11.645244215938304,1.9922480620155039,0.3266839378238342
133,CH,Zürich,2022,,6.813220338983051,20.80033898305085,12.057627118644067,2.027586206896552,0.3
134,CH,Zürich,2023,,8.4,11.9,14.0,3.0,0.6
135,CY,Limassol,2016,4.45,12.049999999999999,17.2,18.0,,1.55
136,CY,Limassol,2017,2.777049180327869,10.319672131147541,24.155191256830598,27.91256830601093,,1.2287292817679558
137,CY,Limassol,2018,3.330054644808743,12.76775956284153,20.611475409836068,32.98360655737705,,1.3873626373626373
138,CY,Limassol,2019,3.325219941348974,11.916184971098266,16.860526315789475,29.559420289855073,,0.9097345132743362
139,CY,Limassol,2020,3.0161616161616163,9.88510101010101,,27.40966921119593,,0.8118987341772151
140,CY,Limassol,2021,3.4198910081743867,10.516348773841962,,28.318801089918257,54.20265780730897,0.6971671388101983
141,CY,Limassol,2022,2.9633898305084747,10.032881355932203,,29.345762711864406,55.21016949152543,0.8129251700680272
142,CY,Limassol,2023,3.7,12.6,,25.0,61.0,1.9
143,CY,Nicosia,2016,5.266666666666667,13.816666666666668,13.366666666666667,27.0,62.5,0.9333333333333332
144,CY,Nicosia,2017,3.241530054644809,9.569398907103825,25.866666666666667,33.48087431693989,60.049180327868854,0.8874316939890711
145,CY,Nicosia,2018,3.068306010928962,8.614207650273224,26.872131147540987,33.84699453551912,54.540983606557376,1.0185792349726777
146,CY,Nicosia,2019,2.922478386167147,10.944956772334294,14.407894736842104,33.3342939481268,63.783861671469744,1.5363112391930835
147,CY,Nicosia,2020,3.0191919191919188,9.107575757575757,,29.90379746835443,57.167088607594934,1.381060606060606
148,CY,Nicosia,2021,2.95858310626703,8.899455040871935,,29.708446866485012,56.92370572207084,1.3318801089918257
149,CY,Nicosia,2022,2.4189830508474577,7.26,,32.525597269624576,60.467576791808874,1.4393220338983053
150,CY,Nicosia,2023,5.7,14.9,,44.0,99.0,2.9
151,CZ,Brno,2016,,11.049999999999999,13.183333333333335,21.5,61.833333333333336,1.75
152,CZ,Brno,2017,,12.204371584699453,21.426775956284153,24.262295081967213,65.81420765027322,2.104945054945055
153,CZ,Brno,2018,,10.419125683060109,20.75846994535519,24.174863387978142,65.73770491803279,2.519125683060109
154,CZ,Brno,2019,,9.659078590785908,20.049051490514906,18.685636856368564,51.929539295392956,2.32445652173913
155,CZ,Brno,2020,,8.747701149425287,18.741091954022988,17.17241379310345,45.497126436781606,2.087278106508876
