ID,Migratory route codes,Migration nodes,Bird orders,Bird families,Bird genera,English Name,Bird species,Species Authority,Migration type,The IUCN Red List (2023),Migration start year,Migration start month,Migration end year,Migration end month,"Continents (1 = North America, 2 = South America, 3 = Europe, 4 = Africa, 5 = Asia, 6 = Oceania)",Countries,Provinces,GPS_xx,GPS_yy,"Migration patterns (1 = Intercontinental migration, 2 = Intracontinental migration)","Migration routes (1 = North America↔North America, 2 = South America↔South America, 3 = Europe↔Europe, 4 = Africa↔Africa, 5 = Asia↔Asia, 6 = Oceania↔Oceania, 7 = Europe→Africa, 8 = Africa→Europe, 9 = North America→South America, 10 = South America→North America, 11 = Europe→Asia, 12 = Asia→Europe, 13 = Asia→Africa, 14 = Africa→Asia, 15 = Europe→North America, 16 = North America→Europe, 17 = Asia→Oceania, 18 = Oceania→Asia, 19 = North America→Oceania, 20 = Oceania→North America, 21 = North America→Asia)",References,Publish time,DOI
9037,382,Transit locations,Passeriformes,Vireonidae,Vireo,Vireo olivaceus,Vireo olivaceus,"Linnaeus, 1766",Full migrant,Least Concern,2011 ,10 ,2012,4,1,Nicaragua,Río San Juan,-84.48220647,11.24161599,1,10,Prolonged spring migration in the Red-eyed Vireo (Vireo olivaceus),2013,DOI:10.1525/auk.2013.12213
9038,382,Transit locations,Passeriformes,Vireonidae,Vireo,Vireo olivaceus,Vireo olivaceus,"Linnaeus, 1766",Full migrant,Least Concern,2011 ,10 ,2012,4,1,Nicaragua,Chontales,-85.12941859,12.09248048,1,10,Prolonged spring migration in the Red-eyed Vireo (Vireo olivaceus),2013,DOI:10.1525/auk.2013.12213
9039,382,Transit locations,Passeriformes,Vireonidae,Vireo,Vireo olivaceus,Vireo olivaceus,"Linnaeus, 1766",Full migrant,Least Concern,2011 ,10 ,2012,4,1,Nicaragua,Boaco,-85.51786904,12.45534026,1,10,Prolonged spring migration in the Red-eyed Vireo (Vireo olivaceus),2013,DOI:10.1525/auk.2013.12213
9040,382,Transit locations,Passeriformes,Vireonidae,Vireo,Vireo olivaceus,Vireo olivaceus,"Linnaeus, 1766",Full migrant,Least Concern,2011 ,10 ,2012,4,1,Nicaragua,Managua,-86.28618817,12.22217931,1,10,Prolonged spring migration in the Red-eyed Vireo (Vireo olivaceus),2013,DOI:10.1525/auk.2013.12213
9041,382,Transit locations,Passeriformes,Vireonidae,Vireo,Vireo olivaceus,Vireo olivaceus,"Linnaeus, 1766",Full migrant,Least Concern,2012 ,4 ,2013,4 ,1,Nicaragua,Matagalpa,-85.51450378,12.93447166,1,10,Prolonged spring migration in the Red-eyed Vireo (Vireo olivaceus),2013,DOI:10.1525/auk.2013.12213
9042,382,Transit locations,Passeriformes,Vireonidae,Vireo,Vireo olivaceus,Vireo olivaceus,"Linnaeus, 1766",Full migrant,Least Concern,2012 ,4 ,2012,4,1,Nicaragua,Jinotega,-85.52308871,13.73866574,1,10,Prolonged spring migration in the Red-eyed Vireo (Vireo olivaceus),2013,DOI:10.1525/auk.2013.12213
9043,382,Transit locations,Passeriformes,Vireonidae,Vireo,Vireo olivaceus,Vireo olivaceus,"Linnaeus, 1766",Full migrant,Least Concern,2012 ,4 ,2012,4,1,Nicaragua,Estelí,-86.40446241,13.16884058,1,10,Prolonged spring migration in the Red-eyed Vireo (Vireo olivaceus),2013,DOI:10.1525/auk.2013.12213
9044,382,Transit locations,Passeriformes,Vireonidae,Vireo,Vireo olivaceus,Vireo olivaceus,"Linnaeus, 1766",Full migrant,Least Concern,2012 ,4 ,2012,4,1,Nicaragua,Madriz,-86.47528875,13.48490911,1,10,Prolonged spring migration in the Red-eyed Vireo (Vireo olivaceus),2013,DOI:10.1525/auk.2013.12213
9045,382,Transit locations,Passeriformes,Vireonidae,Vireo,Vireo olivaceus,Vireo olivaceus,"Linnaeus, 1766",Full migrant,Least Concern,2012 ,4 ,2012,4,1,Honduras,El Paraíso,-86.48299852,14.01655548,1,10,Prolonged spring migration in the Red-eyed Vireo (Vireo olivaceus),2013,DOI:10.1525/auk.2013.12213
9046,382,Transit locations,Passeriformes,Vireonidae,Vireo,Vireo olivaceus,Vireo olivaceus,"Linnaeus, 1766",Full migrant,Least Concern,2012 ,4 ,2012,4,1,Honduras,Choluteca,-87.11701826,13.34594648,1,10,Prolonged spring migration in the Red-eyed Vireo (Vireo olivaceus),2013,DOI:10.1525/auk.2013.12213
